Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-01-22,NETZ,93.3616419569,90.3356854602,95.288120105,93.7412941954,90.6762048163,95.5162019763
2021-01-22,ROT,95.9246138041,94.2551328131,96.510274743,96.2531912474,94.6694910267,96.7392084684
2021-01-22,RSD,92.3172294273,91.5613508695,92.9410228884,93.5516487806,92.4869036189,94.3122758612
2021-01-23,RME,96.8702968231,96.387814239,97.4903932218,97.1375194331,96.7271377475,97.589880478
2021-01-24,RSD,94.519216878,92.9505662281,96.184394825,95.9805724968,94.3845136738,97.3034066604
2021-02-16,ROT,93.6428854253,88.6738461774,95.3249565284,94.5178788776,89.1480205046,96.1055481772
2021-02-17,ROT,97.0299095557,95.7148398832,97.4776634722,97.5493305722,96.1100589311,97.977578471
2021-02-18,NETZ,94.7260532611,92.4971380944,96.114164757,95.7550942133,93.8423028643,96.8308284208
2021-04-18,RSD,96.2994344027,94.4079407242,98.7413954307,97.1264704434,95.5978876367,98.6106600907
2021-04-19,RSD,92.4018210366,91.2622703263,93.5757780446,92.7190159844,91.04179004,94.2171547184
2021-04-20,RSD,92.5178754163,90.4624300793,94.6806352771,93.6274008329,91.4991150773,95.571152135
2021-04-21,NETZ,93.1070965924,90.5299132969,94.7158198168,93.9184553371,91.1334170033,95.496401717
2021-04-21,RSD,96.1810916137,95.5635891715,96.8269162623,96.3277656637,95.3510937258,97.2194236126
2021-04-22,RME,93.7056341505,91.2170665623,96.2352690787,94.2225088443,91.5781835863,96.6866659151
2021-04-24,NETZ,96.2624052867,94.7687031308,97.456770544,97.283929239,96.2170624422,98.001761219
2021-01-08,RSD,94.7647892455,91.0544543037,97.8177472016,95.2074042317,91.4605666548,97.8566677184
2021-01-09,RME,94.9653461261,94.8300757317,95.1378257943,97.3321265336,96.4991024649,98.2583337695
2021-01-09,RWT,95.0927208068,94.1528686237,96.7099456986,96.7930393151,96.4868295527,97.2630757817
2021-01-10,RWT,97.6919230587,98.0346182368,97.1058460884,98.3155655211,98.7120742269,97.7015919826
