Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-11-05;RWT;86.6866784295;86.0814623168;87.4885338085;88.1678478593;87.8437238804;88.5763247084;83.5339658245;85.3453773801;82.997520212;97.343968772;98.223285214;2021-11-05 00:00:00-RWT
2021-11-06;NETZ;94.9141091552;91.1361626267;97.7548959751;95.9302733972;92.2521697966;98.2318890336;94.6518374099;91.5426339612;95.2522697795;97.739215997;99.0662241062;2021-11-06 00:00:00-NETZ
2021-11-06;RSD;90.6405083188;90.1677273193;91.2185448259;91.476204417;90.4034600671;92.467141819;89.4206519408;89.6185770751;89.3251192369;96.4305370617;96.9963031423;2021-11-06 00:00:00-RSD
2021-11-06;RWT;88.5381581102;83.6785875824;94.9312922481;90.1014114004;85.6465191175;95.2856277359;90.8228492137;86.7744767861;92.2185271189;97.7114171618;98.9429973575;2021-11-06 00:00:00-RWT
2021-03-13;NETZ;93.6152900674;90.7321997556;95.8883601324;96.2989913705;94.0432252485;97.786167497;94.2410128953;94.1878751501;94.2511363961;98.4111261865;99.3829046854;2021-03-13 00:00:00-NETZ
2021-03-13;RME;94.5616501467;93.0580964635;96.4871128862;95.2344034115;93.6009476138;97.0391364916;94.0852658829;93.472905723;94.2336683417;98.0892367759;99.2943444288;2021-03-13 00:00:00-RME
2021-03-13;ROT;97.6234478515;95.9107852682;98.3788224016;98.2263118744;96.2805412311;98.9340819029;96.9946873951;96.0588235294;97.093004573;98.5775937086;99.4800581301;2021-03-13 00:00:00-ROT
2021-03-14;NETZ;94.6714386874;91.8038923981;96.9448686244;97.4575346408;95.6662735746;98.6356449816;95.6053256487;95.1438377176;95.6940573619;98.8479027645;99.5175664355;2021-03-14 00:00:00-NETZ
2021-03-14;ROT;98.2445574912;96.2109144193;99.1420706874;98.618522577;96.5825513284;99.3584805788;97.1596051304;96.9160974161;97.1857763023;98.6407366117;99.5730846278;2021-03-14 00:00:00-ROT
2021-03-14;RSD;97.5771491308;96.8510101396;98.3806276108;97.6083916016;96.919659966;98.2020274029;94.8170447935;95.1605593057;94.6686797168;99.8590877337;99.4432071269;2021-03-14 00:00:00-RSD
2021-03-14;RWT;80.6320568813;79.1513329999;83.1138559825;93.713236746;92.8325285669;95.0272403607;90.8113435237;92.7319391635;90.1207273722;98.3347400314;99.1071428571;2021-03-14 00:00:00-RWT
2021-03-15;RSD;95.7390925518;94.5709929229;96.7837375579;95.8451780311;94.9398110596;96.5463998549;92.1227356261;92.9682612695;91.7850844967;99.3231737529;99.3033226152;2021-03-15 00:00:00-RSD
2021-03-15;RWT;81.470700604;79.562331226;84.024264063;82.4311340117;80.3742020376;85.0578149806;82.0889094893;84.9865974402;81.2103529067;97.3471756541;98.614206803;2021-03-15 00:00:00-RWT
2021-10-14;NETZ;89.605714232;83.8548325663;93.1770808174;90.6085640576;84.7839714922;93.8940322338;88.834825887;85.6743394569;89.3923259657;95.3072629857;98.4590218138;2021-10-14 00:00:00-NETZ
2021-10-15;RSD;84.3699250326;80.7803140465;88.0459923329;85.8971391949;82.1751107965;89.2418758276;85.2358653431;84.2402597403;85.7314156432;90.4784988359;94.7695035461;2021-10-15 00:00:00-RSD
2021-10-18;NETZ;91.2497714308;85.8392512108;94.49912101;92.1565429016;86.9820066883;94.9279818617;90.2050041471;86.4873876595;90.84276534;96.8286944124;98.7642619233;2021-10-18 00:00:00-NETZ
2021-03-23;ROT;93.7680274646;89.6530071999;95.1743012541;94.2905157784;90.1731580328;95.5152368188;95.4608946029;93.3395415473;95.6796424878;96.9707600801;99.1335401076;2021-03-23 00:00:00-ROT
2021-03-24;RWT;92.5759789448;92.6473692289;92.4800033512;92.9920279137;93.1885081181;92.7408731521;89.9639616504;92.6701346389;89.141315672;98.6958244805;98.9151681001;2021-03-24 00:00:00-RWT
2021-12-10;RME;75.0872432151536;68.6823277801809;81.6066984976858;76.8319572099237;71.1502071533502;82.0428522019591;75.404776407289;71.8462917011304;76.2077267637178;91.3239111429676;95.6485056949087;2021-12-10 00:00:00-RME
2021-12-11;RSD;93.705828781846;92.2873557513952;95.4775756252335;95.2039355701344;93.1845615265604;97.1093630335494;91.8851203501094;92.1568758344459;91.7526041666667;96.6905852578257;98.2242990654206;2021-12-11 00:00:00-RSD
2021-12-11;RWT;87.2502699106693;86.6953549460256;88.1511959231155;91.8610764731008;90.7955177813733;93.4500640502754;87.8434141758177;89.8678606001936;87.1948127471505;96.4814002136763;98.0134303301623;2021-12-11 00:00:00-RWT
2021-11-30;RME;80.9839541731;76.8554495956;85.1922386293;81.9512390597;78.4482033369;85.1960243048;83.4958911145;82.6514133781;83.6856954142;95.209923236;97.8717238715;2021-11-30 00:00:00-RME
2021-11-30;ROT;85.4366494681;80.3620037461;87.1669680675;86.4215539878;81.6404282569;87.8412756816;85.4343975856;82.9287349742;85.6897955016;94.5916128605;97.9981595526;2021-11-30 00:00:00-ROT
